"","Country","CountryCode","mean_feeling_of_happiness","mean_life_satisfaction","mean_financial_satisfaction","Year","gdp","Number_below_$3.65_a_day","Number_below_$6.85_a_day","Number_below_$10_a_day","total_population","Region","Latitude","Longitude","Length","Area"
"498","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2002",559.827709012681,"918542","1880962","2244125",2494617,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"499","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2014",4211.93945414035,"119097","825719","1620837",2902823,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"500","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"1998",467.513952978486,"1545738","2215520","2327431",2405148,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"501","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2010",2660.28811038323,"343463","1331721","1993624",2702520,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"502","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2012",4402.30452253522,"166301","961196","1669969",2792349,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"503","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2007",1625.31851957785,"383383","1312898","1894550",2605643,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"504","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"1995",623.157455213889,"944577","1822267","2115555",2330334,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"505","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2018",4165.02273851435,"217988","1215716","2035636",3163991,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"506","Mongolia","MNG",2.13003663003663,6.45604395604396,6.23382173382173,"2016",3690.75671558111,"260513","1279303","2084157",3029555,"East Asia and Pacific",46.862496,103.846656,85.1015045525559,184.432045125176
"507","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2018",8850.09273291116,"39387","114892","189935",622227,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"508","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2014",7388.14779373126,"3130","45457","170540",621810,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"509","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2008",7367.75190910882,"2823","26572","102779",616969,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"510","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2005",3674.6179242797,"6814","78459","212768",614261,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
"511","Montenegro","MNE",2.24769703172979,5.6489252814739,4.07369498464688,"2015",6517.16375162528,"49574","132221","223382",622159,"Europe and Central Asia",42.708678,19.37439,7.28827348478429,1.5180043624074
